Disease ID	Drug Combination
C0033578	('DB00007', 'DB00783')
C0003811	('DB00489', 'DB01118')
C0002395	('DB00843', 'DB00989')
C0003811	('DB00204', 'DB00281')
C0033860	('DB00741', 'DB00860')
C0011849	('DB01132', 'DB01261')
C0003873	('DB00860', 'DB00993')
C0023467	('DB00987', 'DB00997')
C1956346	('DB00227', 'DB01599')
C0003873	('DB00091', 'DB00993')
C0004096	('DB00635', 'DB00741')
C0024299	('DB00570', 'DB00635', 'DB01033')
C1956346	('DB01039', 'DB01076')
C0024299	('DB00563', 'DB00860')
C0011849	('DB00641', 'DB01120')
C0003873	('DB00563', 'DB01611')
C0004096	('DB00920', 'DB01001')
C0006118	('DB00361', 'DB01248')
C0011849	('DB00222', 'DB00331', 'DB01120', 'DB01261')
C0011849	('DB00331', 'DB01132', 'DB01261')
C0004096	('DB00471', 'DB00635')
C1956346	('DB00175', 'DB00641')
C0010068	('DB01039', 'DB01076')
C0007222	('DB00175', 'DB00227', 'DB00641', 'DB01076')
C0003873	('DB00482', 'DB00788')
C0003811	('DB00280', 'DB00489', 'DB01118', 'DB01182', 'DB01195', 'DB04855')
C0011849	('DB00331', 'DB01132')
C0003873	('DB00860', 'DB01097')
C0020517	('DB01075', 'DB01114')
C0011849	('DB00331', 'DB00731', 'DB01132', 'DB01261')
C0011849	('DB00284', 'DB00678')
C0003811	('DB00661', 'DB00908')
C0023467	('DB00694', 'DB00987')
C0023890	('DB00214', 'DB00695')
C1261473	('DB00541', 'DB00997')
C0004096	('DB00860', 'DB01234')
C0011849	('DB00331', 'DB01120')
C0011849	('DB00641', 'DB01261')
C0014544	('DB00313', 'DB00996')
C0002871	('DB00126', 'DB00158')
C0030567	('DB00248', 'DB01235')
C0011849	('DB00222', 'DB00284')
C0024141	('DB00635', 'DB00860')
C0024141	('DB00860', 'DB01611')
C0033860	('DB00563', 'DB00860')
C0006118	('DB00380', 'DB00997')
C0011849	('DB00641', 'DB01076')
C0003811	('DB00390', 'DB01195')
C0030567	('DB01037', 'DB01235')
C0007222	('DB00175', 'DB00641')
C0003873	('DB00482', 'DB01097')
C0033860	('DB00091', 'DB00563')
C0007222	('DB00641', 'DB01076')
C0023418	('DB00563', 'DB01033')
C0023418	('DB00541', 'DB00694')
C0006118	('DB00563', 'DB00570')
C0026769	('DB00860', 'DB00993')
C0011849	('DB00222', 'DB06655')
C0003864	('DB00482', 'DB01234')
C0004096	('DB00588', 'DB01409')
C0011849	('DB00412', 'DB01132', 'DB01261')
C0242422	('DB00190', 'DB00915', 'DB01235')
C0010346	('DB00563', 'DB01033')
C0004096	('DB00277', 'DB00588')
C0006118	('DB00563', 'DB01006')
C0011849	('DB00331', 'DB00412')
C0003873	('DB00563', 'DB00795', 'DB01611')
C0004096	('DB00277', 'DB00471')
C0003873	('DB00482', 'DB00795')
C0002395	('DB01037', 'DB01043')
C0011849	('DB00412', 'DB01132')
C0003873	('DB00860', 'DB01611')
C0006118	('DB00286', 'DB00783')
C0023418	('DB00563', 'DB00997')
C0003873	('DB00091', 'DB00741')
C0022658	('DB00635', 'DB00860')
C0003873	('DB00586', 'DB01050')
C0011849	('DB01132', 'DB06655')
C0033860	('DB00091', 'DB00459', 'DB00563')
C0033578	('DB00499', 'DB01216')
C0003811	('DB00204', 'DB00489')
C0021655	('DB00412', 'DB01132')
C0003864	('DB00328', 'DB01050')
C0002395	('DB00843', 'DB01043')
C0011849	('DB00284', 'DB00491')
C0006111	('DB00282', 'DB00399')
